"Relative Time","Run"
"00:00","24"
"00:10","28"
"00:20","32"
"00:30","36"
"00:40","40"
"00:50","44"
"01:00","48"
"01:10","50"
"01:30","44"
"01:32","23"
"01:34","19"
"01:36","13"
"01:38","11"
"01:40","6"
"01:42","0"
"01:44","0"
